layer,train_input,test_input,subset,fold,auroc,n,pos
5,cq,cq,C-,4,0.7080627705627706,122,66
5,cq,q,all,oof,0.6381540270429159,1224,756
5,cq,q,all,0,0.648787061994609,246,140
5,cq,q,all,1,0.7187303582652419,246,172
5,cq,q,all,2,0.5151515151515151,244,154
5,cq,q,all,3,0.6529290550485722,244,158
5,cq,q,all,4,0.6810064935064936,244,132
5,cq,q,C+,oof,0.638154027042916,612,378
5,cq,q,C+,0,0.6487870619946091,123,70
5,cq,q,C+,1,0.718730358265242,123,86
5,cq,q,C+,2,0.5151515151515151,122,77
5,cq,q,C+,3,0.6529290550485722,122,79
5,cq,q,C+,4,0.6810064935064936,122,66
5,cq,q,C-,oof,0.638154027042916,612,378
5,cq,q,C-,0,0.6487870619946091,123,70
5,cq,q,C-,1,0.718730358265242,123,86
5,cq,q,C-,2,0.5151515151515151,122,77
5,cq,q,C-,3,0.6529290550485722,122,79
5,cq,q,C-,4,0.6810064935064936,122,66
6,q,q,all,oof,0.7607063718174828,1224,756
6,q,q,all,0,0.7161725067385445,246,140
6,q,q,all,1,0.8139534883720931,246,172
6,q,q,all,2,0.771139971139971,244,154
6,q,q,all,3,0.7327053282307918,244,158
6,q,q,all,4,0.8111471861471862,244,132
6,q,q,C+,oof,0.7607063718174829,612,378
6,q,q,C+,0,0.7161725067385444,123,70
6,q,q,C+,1,0.8139534883720929,123,86
6,q,q,C+,2,0.771139971139971,122,77
6,q,q,C+,3,0.7327053282307919,122,79
6,q,q,C+,4,0.8111471861471862,122,66
6,q,q,C-,oof,0.7607063718174829,612,378
6,q,q,C-,0,0.7161725067385444,123,70
6,q,q,C-,1,0.8139534883720929,123,86
6,q,q,C-,2,0.771139971139971,122,77
6,q,q,C-,3,0.7327053282307919,122,79
6,q,q,C-,4,0.8111471861471862,122,66
6,q,cq,all,oof,0.5386678650567539,1224,756
6,q,cq,all,0,0.6387466307277627,246,140
6,q,cq,all,1,0.6444060339409178,246,172
6,q,cq,all,2,0.621067821067821,244,154
6,q,cq,all,3,0.5612304974977922,244,158
6,q,cq,all,4,0.5318587662337663,244,132
6,q,cq,C+,oof,0.5379753990865103,612,378
6,q,cq,C+,0,0.633423180592992,123,70
6,q,cq,C+,1,0.6458202388434947,123,86
6,q,cq,C+,2,0.6077922077922078,122,77
6,q,cq,C+,3,0.5646158375036798,122,79
6,q,cq,C+,4,0.5319264069264069,122,66
6,q,cq,C-,oof,0.5393659838104283,612,378
6,q,cq,C-,0,0.6458221024258761,123,70
6,q,cq,C-,1,0.6426775612822124,123,86
6,q,cq,C-,2,0.6343434343434342,122,77
6,q,cq,C-,3,0.557256402708272,122,79
6,q,cq,C-,4,0.5324675324675325,122,66
6,cq,cq,all,oof,0.7547624700402478,1224,756
6,cq,cq,all,0,0.7863881401617251,246,140
6,cq,cq,all,1,0.7626492771841609,246,172
6,cq,cq,all,2,0.7113997113997113,244,154
6,cq,cq,all,3,0.7870179570209008,244,158
6,cq,cq,all,4,0.7328869047619048,244,132
6,cq,cq,C+,oof,0.7542735042735043,612,378
